,title,author,duration,release_date
0,Clue Krewe,Jana DeLeon,10 hrs and 1 min,06-13-23
1,Aster Fall,David North,20 hrs and 22 mins,05-23-23
2,Shattersoul,Kyle Kirrin,20 hrs and 15 mins,06-02-23
3,The Shift,Tinx,5 hrs and 17 mins,05-23-23
4,Savannah,SunriseCV,14 hrs and 31 mins,05-31-23
5,Special Kind of Twisted,Lani Lynn Vale,6 hrs and 15 mins,05-23-23
6,Terms and Conditions,Lauren Asher,13 hrs and 12 mins,05-23-23
7,Strength Unleashed: Startup,Ajax Lygan,14 hrs and 4 mins,05-25-23
8,The Gift,Sebastian Fitzek,7 hrs and 8 mins,05-18-23
9,The Running Grave,Robert Galbraith,27 hrs,09-26-23
10,Elon Musk,Walter Isaacson,22 hrs,09-12-23
11,Wiedergeburt: Legend of the Reincarnated Warrior: Volume 5,Brandon Varnell,7 hrs and 14 mins,05-26-23
12,Waybound,Will Wight,16 hrs and 13 mins,06-06-23
13,The Lion: Son of the Forest,Mike Brooks,12 hrs and 15 mins,04-22-23
14,The One That Got Away,JD Kirk,12 hrs and 13 mins,05-25-23
15,The Ritual,Shantel Tessier,16 hrs and 46 mins,05-09-23
16,Under the Stars,Laura Pavlov,9 hrs and 14 mins,05-18-23
17,False Truth,Helena Marchmont,2 hrs and 56 mins,05-19-23
18,Homeworld Lost,"J.N. Chaney, Scott Moon",11 hrs and 30 mins,05-06-23
19,Glamoured,Jaymin Eve,9 hrs and 48 mins,05-05-23
20,Technology Book Trend,Lumumba Shabazz,1 hr and 35 mins,05-18-23
21,Technology Specs Book,Ricardo Navarrete Mendez,2 hrs and 21 mins,05-18-23
22,Ward D,Freida McFadden,7 hrs and 20 mins,05-09-23
23,The Delphi Murders,"Nic Edwards, Brian Whitney",6 hrs and 48 mins,04-20-23
24,Light Bringer,Pierce Brown,13 hrs and 15 mins,07-25-23
25,Childrens Understanding and Absorb Quickly,Jaime Torres,49 mins,04-27-23
26,Accidental Attachment,Max Monroe,13 hrs and 3 mins,05-01-23
27,Runaway Love,Melanie Harlow,8 hrs and 56 mins,05-01-23
28,The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",19 hrs and 24 mins,06-22-23
29,Primeiro Milhão [First Million],Raiam Santos,2 hrs and 47 mins,05-18-23
30,Apocalypse Redux: Book Three,Jakob H. Greif,15 hrs and 48 mins,05-02-23
31,The Primal Hunter 5,Zogarth,17 hrs and 47 mins,05-17-23
32,Employing Patience,Saxon James,7 hrs and 2 mins,05-26-23
33,Revealed,D.I. Freed,28 hrs and 37 mins,05-16-23
34,Korra Is Live,Chukwufumnaya Anita Obidi,2 hrs and 21 mins,05-08-23
35,Emerita Boxing Day,Daniel Schinhofen,13 hrs and 4 mins,05-05-23
36,Unexpected Bliss,"Lexi Blake, Sophie Oak",14 hrs and 3 mins,05-09-23
37,#Fate,Cambria Hebert,11 hrs and 6 mins,05-26-23
38,From the World of Percy Jackson: Sun and the Star,"Rick Riordan, Mark Oshiro",13 hrs and 30 mins,05-02-23
39,Manhood,Josh Hawley,6 hrs and 58 mins,05-16-23
40,Mile High,Liz Tomforde,16 hrs and 48 mins,04-25-23
41,Succubus Summoner,"Virgil Knightley, Annabelle Hawthorne",7 hrs and 57 mins,05-23-23
42,To Flail Against Infinity,J. P. Valentine,14 hrs and 31 mins,05-05-23
43,Fearless Heart,Brighton Walsh,7 hrs and 59 mins,05-26-23
44,The Russo-Ukrainian War,Serhii Plokhy,11 hrs,05-16-23
45,Dressed to Drill,Kate Carlisle,10 hrs and 10 mins,05-16-23
46,By a Silver Thread,Rachel Aaron,11 hrs and 47 mins,05-03-23
47,The Five-Star Weekend,Elin Hilderbrand,12 hrs and 45 mins,06-13-23
48,Deadly Fate,Angela Marsons,8 hrs and 14 mins,05-25-23
49,Isekai Leveling: System Unlocked,Jaxon Winston,10 hrs and 58 mins,05-25-23
50,From the Grave,Kresley Cole,11 hrs and 54 mins,04-21-23
51,State of Denial,Marie Force,9 hrs and 30 mins,08-25-23
52,House of Pounding Hearts,Olivia Wildenstein,13 hrs and 52 mins,04-19-23
53,Inside the Devil's Nest,John Durgin,7 hrs and 46 mins,05-05-23
54,Close Her Eyes,Lisa Regan,12 hrs and 2 mins,05-03-23
55,The Olympian Affair,Jim Butcher,21 hrs and 30 mins,11-07-23
56,The Celebrants,Steven Rowley,9 hrs and 43 mins,05-30-23
57,On His Majesty's Secret Service,Charlie Higson,4 hrs and 25 mins,05-04-23
58,"One Nation Under Blackmail, Vol. 1",Whitney Alyse Webb,18 hrs and 16 mins,03-21-23
59,Defiant,Michael R. Miller,26 hrs and 30 mins,07-13-23
60,Offside Hearts,Nikki Lawson,13 hrs and 27 mins,05-11-23
61,Is There a Narcissist in Your Life?,Amanda Clymont,3 hrs and 3 mins,05-04-23
62,One and Only,Karla Sorensen,8 hrs and 53 mins,05-18-23
63,The Greatness Mindset,Lewis Howes,9 hrs and 7 mins,04-04-23
64,Awaken Your Multidimensional Soul,"Lee Harris, Dianna Edwards",6 hrs and 5 mins,04-19-23
65,Dr. Perfect,Louise Bay,7 hrs and 45 mins,04-20-23
66,The Pope’s Exorcist,Sophia Institute Press,1 hr and 46 mins,04-26-23
67,The Complete Poppy War Trilogy,R. F. Kuang,66 hrs and 29 mins,06-06-23
68,10x Is Easier than 2x,"Dan Sullivan, Dr. Benjamin Hardy",9 hrs and 58 mins,05-09-23
69,Passive Prospecting,"Levi Lascsak, Travis Plumb",3 hrs and 44 mins,05-15-23
70,Cherry Picked,May Archer,9 hrs and 32 mins,05-16-23
71,Barred Desires,Ashley James,6 hrs and 30 mins,05-10-23
72,Gauntlet,John G. Doyle,6 hrs and 56 mins,05-10-23
73,Loving Tessa,Rachel Hanna,3 hrs and 39 mins,05-05-23
74,Counter Attack,Patricia Bradley,10 hrs and 43 mins,05-16-23
75,False Start,"Neve Wilder, Riley Hart",6 hrs and 49 mins,05-19-23
76,Again,J.L. Seegars,5 hrs and 6 mins,05-23-23
77,Strung,Per Jacobsen,5 hrs and 4 mins,04-25-23
78,A Fire in the Flesh,Jennifer L. Armentrout,24 hrs,10-31-23
79,The Gargoyle's Captive,Katee Robert,6 hrs and 55 mins,05-08-23
80,The Wedding Day,Sue Watson,10 hrs and 37 mins,05-17-23
81,Until I Get You,Claire Contreras,15 hrs and 12 mins,03-29-23
82,Why Women Deserve Less,Myron Gaines,2 hrs and 3 mins,03-29-23
83,Dirty Crazy Bad,Siobhan Davis,15 hrs and 25 mins,05-12-23
84,ARkStorm,Bobby Akart,7 hrs and 29 mins,05-22-23
85,Villain Era,Luna Pierce,12 hrs and 29 mins,05-17-23
86,Broken Light,Joanne Harris,12 hrs and 47 mins,05-18-23
87,Little Lost Dolls,M.M. Chouinard,10 hrs and 5 mins,05-04-23
88,Those Bastards,Jared Dillian,10 hrs and 10 mins,05-15-23
89,Blood Prophecy,Mary Rundle,11 hrs and 38 mins,05-17-23
90,Way to the East,Kirill Klevanski,13 hrs and 41 mins,05-16-23
91,Reading Price Charts Bar by Bar,Al Brooks,14 hrs and 38 mins,04-25-23
92,Murder at the Beauty Pageant,Helena Dixon,7 hrs and 16 mins,05-02-23
93,The Greatest Song,Kevin Griffin,5 hrs and 7 mins,04-25-23
